Dreev,A	2676	2000.10.04	D48	1st European Blitz Ch		2000.10.04			71	0-1	6	Neum BIH		Tkachiev,V	2657		twic309.pgn	D48
Motylev,A	2574	2000.10.04	E92	1st European Blitz Ch		2000.10.04			102	1-0	6	Neum BIH		Volkov,S	2554		twic309.pgn	E92
Volkov,S	2554	2000.10.04	D10	1st European Blitz Ch		2000.10.04			92	1-0	7	Neum BIH		Tkachiev,V	2657		twic309.pgn	D10
Sokolov,I	2611	2000.10.04	D11	1st European Blitz Ch		2000.10.04			63	0-1	7	Neum BIH		Dreev,A	2676		twic309.pgn	D11
Sherbakov,R	2558	2000.10.04	A62	1st European Blitz Ch		2000.10.04			55	1/2-1/2	7	Neum BIH		Nikolic,Pr	2657		twic309.pgn	A62
Dreev,A	2676	2000.10.04	D15	1st European Blitz Ch		2000.10.04			44	1/2-1/2	7	Neum BIH		Sokolov,I	2611		twic309.pgn	D15
Sokolov,I	2611	2000.10.04	C45	1st European Blitz Ch		2000.10.04			75	0-1	8	Neum BIH		Motylev,A	2574		twic309.pgn	C45
Motylev,A	2574	2000.10.04	E70	1st European Blitz Ch		2000.10.04			72	1-0	8	Neum BIH		Sokolov,I	2611		twic309.pgn	E70
Malaniuk,V	2548	2000.10.04	A87	1st European Blitz Ch		2000.10.04			88	1-0	8	Neum BIH		Tkachiev,V	2657		twic309.pgn	A04
Nikolic,Pr	2657	2000.10.04	E20	1st European Blitz Ch		2000.10.04			77	0-1	8	Neum BIH		Volkov,S	2554		twic309.pgn	E20
Tkachiev,V	2657	2000.10.04	A48	1st European Blitz Ch		2000.10.04			44	1/2-1/2	9	Neum BIH		Sokolov,I	2611		twic309.pgn	A41
Sokolov,I	2611	2000.10.04	D10	1st European Blitz Ch		2000.10.04			48	1-0	9	Neum BIH		Tkachiev,V	2657		twic309.pgn	A50
Nikolic,Pr	2657	2000.10.04	D31	1st European Blitz Ch		2000.10.04			138	1/2-1/2	10	Neum BIH		Sokolov,I	2611		twic309.pgn	D31
Kozul,Z	2611	2000.10.04	E62	1st European Blitz Ch		2000.10.04			68	1-0	10	Neum BIH		Tkachiev,V	2657		twic309.pgn	E60
Sokolov,I	2611	2000.10.04	D11	1st European Blitz Ch		2000.10.04			75	0-1	10	Neum BIH		Nikolic,Pr	2657		twic309.pgn	D11
Volkov,S	2554	2000.10.04	D11	1st European Blitz Ch		2000.10.04			88	1-0	10	Neum BIH		Dreev,A	2676		twic309.pgn	D11
Tkachiev,V	2657	2000.10.05	A41	1st European Blitz Ch		2000.10.04			70	1/2-1/2	11	Neum BIH		Sherbakov,R	2558		twic309.pgn	A41
Tukmakov,V	2582	2000.10.05	D92	1st European Blitz Ch		2000.10.04			65	1/2-1/2	11	Neum BIH		Sokolov,I	2611		twic309.pgn	D92
Sherbakov,R	2558	2000.10.05	A36	1st European Blitz Ch		2000.10.04			90	1-0	11	Neum BIH		Tkachiev,V	2657		twic309.pgn	A36
Sokolov,I	2611	2000.10.05	A26	1st European Blitz Ch		2000.10.04			80	1-0	11	Neum BIH		Tukmakov,V	2582		twic309.pgn	A20
Kozul,Z	2611	2000.10.05	E86	1st European Blitz Ch		2000.10.04			66	1-0	12	Neum BIH		Dreev,A	2676		twic309.pgn	E86
Dreev,A	2676	2000.10.05	A11	1st European Blitz Ch		2000.10.04			83	1-0	12	Neum BIH		Kozul,Z	2611		twic309.pgn	A09
Tukmakov,V	2582	2000.10.05	D10	1st European Blitz Ch		2000.10.04			60	1-0	12	Neum BIH		Tkachiev,V	2657		twic309.pgn	D10
Tkachiev,V	2657	2000.10.05	E63	1st European Blitz Ch		2000.10.04			85	0-1	12	Neum BIH		Tukmakov,V	2582		twic309.pgn	E63
Dreev,A	2676	2000.10.05	B18	1st European Blitz Ch		2000.10.04			81	0-1	13	Neum BIH		Zelcic,R	2457		twic309.pgn	B18
Nikolic,Pr	2657	2000.10.05	E12	1st European Blitz Ch		2000.10.04			63	0-1	13	Neum BIH		Kozul,Z	2611		twic309.pgn	E12
Tkachiev,V	2657	2000.10.05	C45	1st European Blitz Ch		2000.10.04			43	1/2-1/2	13	Neum BIH		Rublevsky,S	2670		twic309.pgn	C45
Van Wely,L	2643	2000.10.05	D24	1st European Blitz Ch		2000.10.04			62	1-0	14	Neum BIH		Nikolic,Pr	2657		twic309.pgn	D37
Vaganian,R	2623	2000.10.05	E08	1st European Blitz Ch		2000.10.04			48	1-0	14	Neum BIH		Tkachiev,V	2657		twic309.pgn	D35
