sfen	depth	ev	mate	nodes	best	pv
r4rk1/1b1nqpbp/pp1ppnp1/2p5/2PP4/1PN1PN2/PB2BPPP/1QRR2K1 b - -	9	28	False	51923	f8d8	['f8d8', 'b1a1', 'd8e8', 'd4c5', 'b6c5', 'f3d2', 'a6a5', 'c3a4', 'a8c8']
r4rk1/1b1nqpbp/pp1ppnp1/2p5/2PP4/1PN1PN2/PB2BPPP/1QRR2K1 b - -	10	31	False	63346	a8d8	['a8d8', 'b1c2', 'h7h6', 'h2h3', 'f8e8', 'd4c5', 'b6c5']
1r2r1k1/3b1pbp/p2p1np1/8/Pp1BP3/3BN2P/1P3PP1/R3R1K1 b - -	1	-5	False	43	f6e4	['f6e4', 'd4g7', 'g8g7', 'd3a6']
1r2r1k1/3b1pbp/p2p1np1/8/Pp1BP3/3BN2P/1P3PP1/R3R1K1 b - -	2	-5	False	102	f6e4	['f6e4', 'd4g7', 'g8g7', 'd3a6']
1r2r1k1/3b1pbp/p2p1np1/8/Pp1BP3/3BN2P/1P3PP1/R3R1K1 b - -	3	-5	False	181	f6e4	['f6e4', 'd4g7', 'g8g7', 'd3a6']
1r2r1k1/3b1pbp/p2p1np1/8/Pp1BP3/3BN2P/1P3PP1/R3R1K1 b - -	4	-5	False	232	f6e4	['f6e4', 'd4g7', 'g8g7', 'd3a6']
1r2r1k1/3b1pbp/p2p1np1/8/Pp1BP3/3BN2P/1P3PP1/R3R1K1 b - -	5	-5	False	383	f6e4	['f6e4', 'd4g7', 'g8g7', 'd3a6']
1r2r1k1/3b1pbp/p2p1np1/8/Pp1BP3/3BN2P/1P3PP1/R3R1K1 b - -	6	-15	False	499	f6e4	['f6e4', 'd4g7', 'e4c5']
1r2r1k1/3b1pbp/p2p1np1/8/Pp1BP3/3BN2P/1P3PP1/R3R1K1 b - -	7	-51	False	582	f6e4	['f6e4', 'd4g7', 'e4c5']
1r2r1k1/3b1pbp/p2p1np1/8/Pp1BP3/3BN2P/1P3PP1/R3R1K1 b - -	8	-176	False	933	f6e4	['f6e4', 'd4g7']
1r2r1k1/3b1pbp/p2p1np1/8/Pp1BP3/3BN2P/1P3PP1/R3R1K1 b - -	9	-65	False	2279	f6e4	['f6e4', 'd4g7', 'g8g7', 'd3a6', 'e4c5', 'a6b5', 'd7b5', 'a4b5']
1r2r1k1/3b1pbp/p2p1np1/8/Pp1BP3/3BN2P/1P3PP1/R3R1K1 b - -	10	-73	False	4761	f6e4	['f6e4', 'd4g7', 'g8g7', 'd3a6', 'e4c5', 'a6c4', 'c5a4', 'e1e2', 'a4b6', 'e2d2', 'b6c4', 'e3c4']
2kr2r1/pp3p1p/2n1bp1b/2NNp3/2B5/5P2/PPP3PP/1K1R3R b - -	1	-18	False	66	g8g2	['g8g2', 'c5e6', 'f7e6', 'd5f6']
2kr2r1/pp3p1p/2n1bp1b/2NNp3/2B5/5P2/PPP3PP/1K1R3R b - -	2	-18	False	139	g8g2	['g8g2', 'c5e6', 'f7e6', 'd5f6']
2kr2r1/pp3p1p/2n1bp1b/2NNp3/2B5/5P2/PPP3PP/1K1R3R b - -	3	-18	False	206	g8g2	['g8g2', 'c5e6', 'f7e6', 'd5f6']
2kr2r1/pp3p1p/2n1bp1b/2NNp3/2B5/5P2/PPP3PP/1K1R3R b - -	4	-18	False	280	g8g2	['g8g2', 'c5e6', 'f7e6', 'd5f6']
2kr2r1/pp3p1p/2n1bp1b/2NNp3/2B5/5P2/PPP3PP/1K1R3R b - -	5	-18	False	428	g8g2	['g8g2', 'c5e6', 'f7e6', 'd5f6']
2kr2r1/pp3p1p/2n1bp1b/2NNp3/2B5/5P2/PPP3PP/1K1R3R b - -	6	-18	False	657	g8g2	['g8g2', 'c5e6', 'f7e6', 'd5f6']
2kr2r1/pp3p1p/2n1bp1b/2NNp3/2B5/5P2/PPP3PP/1K1R3R b - -	7	0	False	2054	g8g2	['g8g2', 'c5e6', 'f7e6', 'd5f6', 'd8d1', 'h1d1']
2kr2r1/pp3p1p/2n1bp1b/2NNp3/2B5/5P2/PPP3PP/1K1R3R b - -	8	-10	False	2810	g8g2	['g8g2', 'c5e6', 'f7e6', 'd5f6', 'c6d4']
2kr2r1/pp3p1p/2n1bp1b/2NNp3/2B5/5P2/PPP3PP/1K1R3R b - -	9	-83	False	3084	g8g2	['g8g2', 'c5e6', 'f7e6', 'd5f6', 'c6d4']
2kr2r1/pp3p1p/2n1bp1b/2NNp3/2B5/5P2/PPP3PP/1K1R3R b - -	10	-83	False	3736	g8g2	['g8g2', 'c5e6', 'f7e6', 'd5f6', 'c6d4', 'f6h7']
r1b2rk1/1pq1bppp/p1N1pn2/3p4/4PP2/2N3P1/PPP3BP/R1BQR1K1 b - -	1	0	False	44	b7c6	['b7c6']
r1b2rk1/1pq1bppp/p1N1pn2/3p4/4PP2/2N3P1/PPP3BP/R1BQR1K1 b - -	2	0	False	85	b7c6	['b7c6']
r1b2rk1/1pq1bppp/p1N1pn2/3p4/4PP2/2N3P1/PPP3BP/R1BQR1K1 b - -	3	0	False	130	b7c6	['b7c6']
r1b2rk1/1pq1bppp/p1N1pn2/3p4/4PP2/2N3P1/PPP3BP/R1BQR1K1 b - -	4	0	False	175	b7c6	['b7c6']
r1b2rk1/1pq1bppp/p1N1pn2/3p4/4PP2/2N3P1/PPP3BP/R1BQR1K1 b - -	5	-29	False	219	b7c6	['b7c6']
r1b2rk1/1pq1bppp/p1N1pn2/3p4/4PP2/2N3P1/PPP3BP/R1BQR1K1 b - -	6	-151	False	270	b7c6	['b7c6']
r1b2rk1/1pq1bppp/p1N1pn2/3p4/4PP2/2N3P1/PPP3BP/R1BQR1K1 b - -	7	-29	False	724	b7c6	['b7c6', 'e4e5', 'c7b6', 'g1h1']
r1b2rk1/1pq1bppp/p1N1pn2/3p4/4PP2/2N3P1/PPP3BP/R1BQR1K1 b - -	8	-86	False	1217	b7c6	['b7c6', 'e4e5', 'f6d7']
r1b2rk1/1pq1bppp/p1N1pn2/3p4/4PP2/2N3P1/PPP3BP/R1BQR1K1 b - -	9	-150	False	2129	b7c6	['b7c6', 'a2a3', 'a6a5']
r1b2rk1/1pq1bppp/p1N1pn2/3p4/4PP2/2N3P1/PPP3BP/R1BQR1K1 b - -	10	-70	False	5080	b7c6	['b7c6', 'e4e5', 'f6d7', 'c1e3', 'a6a5', 'c3a4']
r1bq1rk1/p1p2ppp/5n2/3p4/1b6/2NB3P/PPP2PP1/R1BQ1RK1 b - -	1	10	False	36	f8e8	['f8e8']
r1bq1rk1/p1p2ppp/5n2/3p4/1b6/2NB3P/PPP2PP1/R1BQ1RK1 b - -	2	-29	False	138	c7c6	['c7c6']
r1bq1rk1/p1p2ppp/5n2/3p4/1b6/2NB3P/PPP2PP1/R1BQ1RK1 b - -	3	-29	False	250	c7c6	['c7c6']
r1bq1rk1/p1p2ppp/5n2/3p4/1b6/2NB3P/PPP2PP1/R1BQ1RK1 b - -	4	-29	False	285	c7c6	['c7c6']
r1bq1rk1/p1p2ppp/5n2/3p4/1b6/2NB3P/PPP2PP1/R1BQ1RK1 b - -	5	-32	False	404	c7c6	['c7c6', 'f1e1']
r1bq1rk1/p1p2ppp/5n2/3p4/1b6/2NB3P/PPP2PP1/R1BQ1RK1 b - -	6	-36	False	1737	c7c6	['c7c6', 'c1g5', 'b4d6']
r1bq1rk1/p1p2ppp/5n2/3p4/1b6/2NB3P/PPP2PP1/R1BQ1RK1 b - -	7	-49	False	2839	h7h6	['h7h6', 'c1e3', 'c7c6', 'c3e2', 'b4d6']
r1bq1rk1/p1p2ppp/5n2/3p4/1b6/2NB3P/PPP2PP1/R1BQ1RK1 b - -	8	7	False	11358	h7h6	['h7h6', 'a2a3', 'b4e7', 'd1f3', 'c8e6']
r1bq1rk1/p1p2ppp/5n2/3p4/1b6/2NB3P/PPP2PP1/R1BQ1RK1 b - -	9	-1	False	19698	c7c6	['c7c6', 'c1g5', 'h7h6', 'g5h4', 'a7a5', 'd1f3', 'b4d6']
r1bq1rk1/p1p2ppp/5n2/3p4/1b6/2NB3P/PPP2PP1/R1BQ1RK1 b - -	10	35	False	40321	c7c6	['c7c6', 'd1f3', 'h7h6', 'f1e1', 'c8e6', 'a2a3', 'b4d6', 'b2b3', 'f8e8']
rnb1k1nr/ppp2ppp/3qp3/8/3PN3/8/PPP2PPP/R2QKBNR b KQkq -	1	1	False	48	d6b4	['d6b4', 'c2c3', 'b4b2']
rnb1k1nr/ppp2ppp/3qp3/8/3PN3/8/PPP2PPP/R2QKBNR b KQkq -	2	1	False	90	d6b4	['d6b4', 'c2c3', 'b4b2']
rnb1k1nr/ppp2ppp/3qp3/8/3PN3/8/PPP2PPP/R2QKBNR b KQkq -	3	3	False	187	d6b6	['d6b6']
rnb1k1nr/ppp2ppp/3qp3/8/3PN3/8/PPP2PPP/R2QKBNR b KQkq -	4	3	False	228	d6b6	['d6b6']
rnb1k1nr/ppp2ppp/3qp3/8/3PN3/8/PPP2PPP/R2QKBNR b KQkq -	5	-98	False	270	d6b6	['d6b6']
rnb1k1nr/ppp2ppp/3qp3/8/3PN3/8/PPP2PPP/R2QKBNR b KQkq -	6	-75	False	858	d6b4	['d6b4', 'e4c3', 'c7c6']
rnb1k1nr/ppp2ppp/3qp3/8/3PN3/8/PPP2PPP/R2QKBNR b KQkq -	7	-20	False	1349	d6b4	['d6b4', 'c2c3', 'b4b2', 'f1d3', 'g8f6', 'e4f6', 'g7f6']
rnb1k1nr/ppp2ppp/3qp3/8/3PN3/8/PPP2PPP/R2QKBNR b KQkq -	8	-18	False	2370	d6b4	['d6b4', 'c2c3', 'b4b2', 'a2a4', 'g8f6', 'a1b1']
rnb1k1nr/ppp2ppp/3qp3/8/3PN3/8/PPP2PPP/R2QKBNR b KQkq -	9	-24	False	4069	d6b4	['d6b4', 'c2c3', 'b4b2', 'a2a4', 'b8d7']
rnb1k1nr/ppp2ppp/3qp3/8/3PN3/8/PPP2PPP/R2QKBNR b KQkq -	10	32	False	10433	d6b4	['d6b4', 'c2c3', 'b4b2', 'a1b1', 'b2a2', 'g1f3', 'g8f6', 'e4f6', 'g7f6', 'f1d3', 'c8d7']
rn1qkb1r/1pp2pp1/p3pnbp/3p4/3P1BPP/2NBPP1N/PPP5/R2QK2R b KQkq -	1	18	False	40	g6d3	['g6d3', 'd1d3']
rn1qkb1r/1pp2pp1/p3pnbp/3p4/3P1BPP/2NBPP1N/PPP5/R2QK2R b KQkq -	2	18	False	92	g6d3	['g6d3', 'd1d3']
rn1qkb1r/1pp2pp1/p3pnbp/3p4/3P1BPP/2NBPP1N/PPP5/R2QK2R b KQkq -	3	18	False	142	g6d3	['g6d3', 'd1d3']
rn1qkb1r/1pp2pp1/p3pnbp/3p4/3P1BPP/2NBPP1N/PPP5/R2QK2R b KQkq -	4	18	False	189	g6d3	['g6d3', 'd1d3']
rn1qkb1r/1pp2pp1/p3pnbp/3p4/3P1BPP/2NBPP1N/PPP5/R2QK2R b KQkq -	5	18	False	269	g6d3	['g6d3', 'd1d3']
rn1qkb1r/1pp2pp1/p3pnbp/3p4/3P1BPP/2NBPP1N/PPP5/R2QK2R b KQkq -	6	40	False	572	g6d3	['g6d3', 'd1d3', 'c7c5']
rn1qkb1r/1pp2pp1/p3pnbp/3p4/3P1BPP/2NBPP1N/PPP5/R2QK2R b KQkq -	7	21	False	767	g6d3	['g6d3', 'd1d3', 'c7c5']
rn1qkb1r/1pp2pp1/p3pnbp/3p4/3P1BPP/2NBPP1N/PPP5/R2QK2R b KQkq -	8	0	False	938	g6d3	['g6d3', 'd1d3', 'b8d7']
rn1qkb1r/1pp2pp1/p3pnbp/3p4/3P1BPP/2NBPP1N/PPP5/R2QK2R b KQkq -	9	-4	False	4038	g6d3	['g6d3', 'd1d3', 'c7c5', 'g4g5', 'f6h5', 'e1c1', 'h5f4', 'h3f4']
rn1qkb1r/1pp2pp1/p3pnbp/3p4/3P1BPP/2NBPP1N/PPP5/R2QK2R b KQkq -	10	-28	False	6342	g6d3	['g6d3', 'c2d3', 'c7c5', 'd4c5', 'f8c5']
r3r3/1p1R1pkp/4p1p1/p7/P3P3/2P2P2/6PP/R5K1 b - -	1	10	False	29	a8c8	['a8c8']
r3r3/1p1R1pkp/4p1p1/p7/P3P3/2P2P2/6PP/R5K1 b - -	2	10	False	103	a8c8	['a8c8']
r3r3/1p1R1pkp/4p1p1/p7/P3P3/2P2P2/6PP/R5K1 b - -	3	5	False	199	b7b6	['b7b6', 'a1b1', 'e8d8']
r3r3/1p1R1pkp/4p1p1/p7/P3P3/2P2P2/6PP/R5K1 b - -	4	5	False	287	b7b6	['b7b6', 'a1b1', 'e8d8']
r3r3/1p1R1pkp/4p1p1/p7/P3P3/2P2P2/6PP/R5K1 b - -	5	5	False	732	b7b6	['b7b6', 'a1b1', 'e8d8']
r3r3/1p1R1pkp/4p1p1/p7/P3P3/2P2P2/6PP/R5K1 b - -	6	-2	False	1115	b7b6	['b7b6', 'a1b1', 'a8c8', 'b1b6', 'c8c3']
r3r3/1p1R1pkp/4p1p1/p7/P3P3/2P2P2/6PP/R5K1 b - -	7	0	False	1898	b7b6	['b7b6', 'g1f2', 'e8c8', 'a1b1', 'c8c3', 'b1b6', 'c3c2', 'f2g1']
r3r3/1p1R1pkp/4p1p1/p7/P3P3/2P2P2/6PP/R5K1 b - -	8	-25	False	6419	a8b8	['a8b8', 'a1d1', 'e8c8', 'd1d6', 'b7b5']
r3r3/1p1R1pkp/4p1p1/p7/P3P3/2P2P2/6PP/R5K1 b - -	9	-4	False	11040	a8b8	['a8b8', 'a1d1', 'e8c8', 'd7e7', 'c8c3', 'd1d7', 'b8f8']
r3r3/1p1R1pkp/4p1p1/p7/P3P3/2P2P2/6PP/R5K1 b - -	10	5	False	20460	a8b8	['a8b8', 'a1b1', 'e8c8', 'b1b6', 'g7f8', 'b6b7', 'b8b7', 'd7b7', 'c8c4']
r3kb1r/1pqnnp2/2p1p2p/p2pPbp1/P2P4/1N3N2/1PPBBPPP/2RQ1RK1 b kq -	1	20	False	39	g5g4	['g5g4']
r3kb1r/1pqnnp2/2p1p2p/p2pPbp1/P2P4/1N3N2/1PPBBPPP/2RQ1RK1 b kq -	2	20	False	90	g5g4	['g5g4']
r3kb1r/1pqnnp2/2p1p2p/p2pPbp1/P2P4/1N3N2/1PPBBPPP/2RQ1RK1 b kq -	3	20	False	176	g5g4	['g5g4']
r3kb1r/1pqnnp2/2p1p2p/p2pPbp1/P2P4/1N3N2/1PPBBPPP/2RQ1RK1 b kq -	4	20	False	272	g5g4	['g5g4']
r3kb1r/1pqnnp2/2p1p2p/p2pPbp1/P2P4/1N3N2/1PPBBPPP/2RQ1RK1 b kq -	5	7	False	330	g5g4	['g5g4']
r3kb1r/1pqnnp2/2p1p2p/p2pPbp1/P2P4/1N3N2/1PPBBPPP/2RQ1RK1 b kq -	6	97	False	1862	c7b6	['c7b6', 'h2h3', 'e7g6', 'f3e1']
r3kb1r/1pqnnp2/2p1p2p/p2pPbp1/P2P4/1N3N2/1PPBBPPP/2RQ1RK1 b kq -	7	135	False	5783	f8g7	['f8g7', 'd1e1', 'e8g8', 'd2a5']
r3kb1r/1pqnnp2/2p1p2p/p2pPbp1/P2P4/1N3N2/1PPBBPPP/2RQ1RK1 b kq -	8	132	False	8641	f8g7	['f8g7', 'f1e1', 'b7b6', 'c2c4']
r3kb1r/1pqnnp2/2p1p2p/p2pPbp1/P2P4/1N3N2/1PPBBPPP/2RQ1RK1 b kq -	9	139	False	18766	f8g7	['f8g7', 'f1e1', 'f7f6', 'e5f6', 'd7f6', 'c2c4', 'e8g8', 'c4d5', 'f6d5']
r3kb1r/1pqnnp2/2p1p2p/p2pPbp1/P2P4/1N3N2/1PPBBPPP/2RQ1RK1 b kq -	10	139	False	30229	f8g7	['f8g7', 'c2c4', 'f7f6', 'c4d5', 'e6d5', 'e5f6', 'g7f6']
r1bqk2r/ppppbppp/2n5/4Nn2/8/2P5/PP1P1PPP/RNBQRBK1 b kq -	1	17	False	39	c6e5	['c6e5', 'e1e5']
r1bqk2r/ppppbppp/2n5/4Nn2/8/2P5/PP1P1PPP/RNBQRBK1 b kq -	2	17	False	82	c6e5	['c6e5', 'e1e5']
r1bqk2r/ppppbppp/2n5/4Nn2/8/2P5/PP1P1PPP/RNBQRBK1 b kq -	3	17	False	127	c6e5	['c6e5', 'e1e5']
r1bqk2r/ppppbppp/2n5/4Nn2/8/2P5/PP1P1PPP/RNBQRBK1 b kq -	4	17	False	172	c6e5	['c6e5', 'e1e5']
r1bqk2r/ppppbppp/2n5/4Nn2/8/2P5/PP1P1PPP/RNBQRBK1 b kq -	5	17	False	221	c6e5	['c6e5', 'e1e5']
r1bqk2r/ppppbppp/2n5/4Nn2/8/2P5/PP1P1PPP/RNBQRBK1 b kq -	6	142	False	1386	d7d6	['d7d6', 'e5f7', 'e8f7', 'f1c4', 'f7g6']
r1bqk2r/ppppbppp/2n5/4Nn2/8/2P5/PP1P1PPP/RNBQRBK1 b kq -	7	55	False	1641	c6e5	['c6e5', 'e1e5', 'd7d6']
r1bqk2r/ppppbppp/2n5/4Nn2/8/2P5/PP1P1PPP/RNBQRBK1 b kq -	8	55	False	1833	c6e5	['c6e5', 'e1e5', 'd7d6', 'e5e1']
r1bqk2r/ppppbppp/2n5/4Nn2/8/2P5/PP1P1PPP/RNBQRBK1 b kq -	9	94	False	3426	c6e5	['c6e5', 'e1e5', 'd7d6', 'e5e1', 'd6d5', 'd2d4', 'a7a5']
r1bqk2r/ppppbppp/2n5/4Nn2/8/2P5/PP1P1PPP/RNBQRBK1 b kq -	10	50	False	4720	c6e5	['c6e5', 'e1e5', 'd7d6', 'e5e2', 'c7c6']
3r3k/p6P/1p6/8/2P5/6bP/PPRp2P1/3B2K1 b - -	1	25	False	29	h8h7	['h8h7']
3r3k/p6P/1p6/8/2P5/6bP/PPRp2P1/3B2K1 b - -	2	-52	False	66	a7a5	['a7a5']
3r3k/p6P/1p6/8/2P5/6bP/PPRp2P1/3B2K1 b - -	3	-52	False	110	a7a5	['a7a5']
3r3k/p6P/1p6/8/2P5/6bP/PPRp2P1/3B2K1 b - -	4	-52	False	136	a7a5	['a7a5']
3r3k/p6P/1p6/8/2P5/6bP/PPRp2P1/3B2K1 b - -	5	-58	False	167	a7a5	['a7a5']
3r3k/p6P/1p6/8/2P5/6bP/PPRp2P1/3B2K1 b - -	6	-58	False	205	a7a5	['a7a5', 'a2a3']
3r3k/p6P/1p6/8/2P5/6bP/PPRp2P1/3B2K1 b - -	7	-19	False	1385	a7a5	['a7a5', 'c2c3', 'g3e5', 'c3c2', 'e5d4', 'g1h2']
3r3k/p6P/1p6/8/2P5/6bP/PPRp2P1/3B2K1 b - -	8	-1104	False	1713	d8e8	['d8e8']
3r3k/p6P/1p6/8/2P5/6bP/PPRp2P1/3B2K1 b - -	9	-9997	True	1942	d8e8	['d8e8', 'd1e2', 'e8e2', 'a2a3', 'd2d1q']
3r3k/p6P/1p6/8/2P5/6bP/PPRp2P1/3B2K1 b - -	10	-9997	True	2036	d8e8	['d8e8', 'd1e2', 'e8e2', 'a2a3', 'd2d1q']
r1bq1rk1/pp3pbp/2np1np1/4p3/3P4/2P2NP1/PP1N1PBP/R1BQR1K1 b - -	1	7	False	48	e5d4	['e5d4', 'f3d4', 'c6d4']
r1bq1rk1/pp3pbp/2np1np1/4p3/3P4/2P2NP1/PP1N1PBP/R1BQR1K1 b - -	2	-13	False	136	d8c7	['d8c7']
r1bq1rk1/pp3pbp/2np1np1/4p3/3P4/2P2NP1/PP1N1PBP/R1BQR1K1 b - -	3	-210	False	193	f8e8	['f8e8', 'd4e5', 'd6e5']
r1bq1rk1/pp3pbp/2np1np1/4p3/3P4/2P2NP1/PP1N1PBP/R1BQR1K1 b - -	4	-105	False	364	f8e8	['f8e8', 'e1e2']
r1bq1rk1/pp3pbp/2np1np1/4p3/3P4/2P2NP1/PP1N1PBP/R1BQR1K1 b - -	5	-53	False	667	f8e8	['f8e8', 'd4e5', 'd6e5', 'f3g5']
r1bq1rk1/pp3pbp/2np1np1/4p3/3P4/2P2NP1/PP1N1PBP/R1BQR1K1 b - -	6	-15	False	2656	f8e8	['f8e8', 'd2b3', 'h7h6', 'd4e5']
r1bq1rk1/pp3pbp/2np1np1/4p3/3P4/2P2NP1/PP1N1PBP/R1BQR1K1 b - -	7	-15	False	5011	e5d4	['e5d4', 'f3d4', 'c6d4', 'c3d4', 'f8e8', 'e1e8', 'd8e8']
r1bq1rk1/pp3pbp/2np1np1/4p3/3P4/2P2NP1/PP1N1PBP/R1BQR1K1 b - -	8	-33	False	5637	e5d4	['e5d4', 'f3d4', 'c6d4', 'c3d4', 'f8e8', 'e1e8', 'd8e8']
r1bq1rk1/pp3pbp/2np1np1/4p3/3P4/2P2NP1/PP1N1PBP/R1BQR1K1 b - -	9	-30	False	7840	e5d4	['e5d4', 'f3d4', 'c6d4', 'c3d4', 'f8e8', 'd2f3', 'c8g4', 'e1e8', 'd8e8']
r1bq1rk1/pp3pbp/2np1np1/4p3/3P4/2P2NP1/PP1N1PBP/R1BQR1K1 b - -	10	-25	False	15656	d8c7	['d8c7', 'd4e5', 'd6e5', 'd1a4', 'f8d8', 'd2e4', 'f6e4', 'a4e4']
1rbr4/p1k2p2/1p1p1Ppq/n1pPp2p/Q1P1B2P/2P1NRP1/P3PK2/1R6 b - -	1	24	False	45	c8d7	['c8d7']
1rbr4/p1k2p2/1p1p1Ppq/n1pPp2p/Q1P1B2P/2P1NRP1/P3PK2/1R6 b - -	2	-12	False	100	c8g4	['c8g4']
1rbr4/p1k2p2/1p1p1Ppq/n1pPp2p/Q1P1B2P/2P1NRP1/P3PK2/1R6 b - -	3	-17	False	163	d8f8	['d8f8']
1rbr4/p1k2p2/1p1p1Ppq/n1pPp2p/Q1P1B2P/2P1NRP1/P3PK2/1R6 b - -	4	-30	False	202	c8d7	['c8d7']
1rbr4/p1k2p2/1p1p1Ppq/n1pPp2p/Q1P1B2P/2P1NRP1/P3PK2/1R6 b - -	5	-42	False	542	c8d7	['c8d7', 'a4c2', 'd7g4']
1rbr4/p1k2p2/1p1p1Ppq/n1pPp2p/Q1P1B2P/2P1NRP1/P3PK2/1R6 b - -	6	-42	False	874	c8d7	['c8d7', 'a4c2', 'd7g4']
1rbr4/p1k2p2/1p1p1Ppq/n1pPp2p/Q1P1B2P/2P1NRP1/P3PK2/1R6 b - -	7	-49	False	1797	c8g4	['c8g4', 'e3g4', 'h5g4', 'f3e3', 'h6h8']
1rbr4/p1k2p2/1p1p1Ppq/n1pPp2p/Q1P1B2P/2P1NRP1/P3PK2/1R6 b - -	8	-49	False	2326	c8g4	['c8g4', 'e3g4', 'h5g4', 'f3e3', 'h6h8']
1rbr4/p1k2p2/1p1p1Ppq/n1pPp2p/Q1P1B2P/2P1NRP1/P3PK2/1R6 b - -	9	-49	False	2923	c8g4	['c8g4', 'e3g4', 'h5g4', 'f3e3', 'h6h8']
1rbr4/p1k2p2/1p1p1Ppq/n1pPp2p/Q1P1B2P/2P1NRP1/P3PK2/1R6 b - -	10	-83	False	4132	c8g4	['c8g4', 'b1d1', 'g4f3', 'e2f3', 'h6h8']
r1b1nrk1/p1q1Bppp/3bp3/1p1pN3/2pP1P2/2P1P3/PPBN2PP/R2QK2R b KQ -	1	8	False	33	d6e7	['d6e7']
r1b1nrk1/p1q1Bppp/3bp3/1p1pN3/2pP1P2/2P1P3/PPBN2PP/R2QK2R b KQ -	2	8	False	62	d6e7	['d6e7']
r1b1nrk1/p1q1Bppp/3bp3/1p1pN3/2pP1P2/2P1P3/PPBN2PP/R2QK2R b KQ -	3	-12	False	97	c7e7	['c7e7']
r1b1nrk1/p1q1Bppp/3bp3/1p1pN3/2pP1P2/2P1P3/PPBN2PP/R2QK2R b KQ -	4	-12	False	127	c7e7	['c7e7']
r1b1nrk1/p1q1Bppp/3bp3/1p1pN3/2pP1P2/2P1P3/PPBN2PP/R2QK2R b KQ -	5	-194	False	158	c7e7	['c7e7']
