sfen	depth	ev	mate	nodes	best	pv
r1bqkb1r/1ppn1ppp/3p1n2/p3p3/P2PP3/2N2N2/1PP2PPP/R1BQKB1R w KQkq -	2	106	False	156	c1e3	['c1e3']
r1bqkb1r/1ppn1ppp/3p1n2/p3p3/P2PP3/2N2N2/1PP2PPP/R1BQKB1R w KQkq -	3	106	False	308	c1e3	['c1e3']
r1bqkb1r/1ppn1ppp/3p1n2/p3p3/P2PP3/2N2N2/1PP2PPP/R1BQKB1R w KQkq -	4	106	False	394	c1e3	['c1e3']
r1bqkb1r/1ppn1ppp/3p1n2/p3p3/P2PP3/2N2N2/1PP2PPP/R1BQKB1R w KQkq -	5	109	False	523	h2h3	['h2h3', 'c7c6', 'c1e3']
r1bqkb1r/1ppn1ppp/3p1n2/p3p3/P2PP3/2N2N2/1PP2PPP/R1BQKB1R w KQkq -	6	109	False	732	h2h3	['h2h3', 'c7c6']
r1bqkb1r/1ppn1ppp/3p1n2/p3p3/P2PP3/2N2N2/1PP2PPP/R1BQKB1R w KQkq -	7	150	False	1019	h2h3	['h2h3', 'c7c6', 'c1e3']
r1bqkb1r/1ppn1ppp/3p1n2/p3p3/P2PP3/2N2N2/1PP2PPP/R1BQKB1R w KQkq -	8	122	False	7305	f1c4	['f1c4', 'h7h6', 'h2h3', 'c7c6', 'e1g1', 'f8e7', 'd1e2']
r1bqkb1r/1ppn1ppp/3p1n2/p3p3/P2PP3/2N2N2/1PP2PPP/R1BQKB1R w KQkq -	9	115	False	12137	f1c4	['f1c4', 'h7h6', 'h2h3', 'f8e7', 'd1e2', 'c7c6', 'c4a2']
r1bqkb1r/1ppn1ppp/3p1n2/p3p3/P2PP3/2N2N2/1PP2PPP/R1BQKB1R w KQkq -	10	144	False	13816	f1c4	['f1c4', 'h7h6', 'h2h3', 'f8e7', 'd1e2', 'c7c6', 'e1g1']
rnbqkb1r/pp1ppppp/5n2/2p5/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -	1	70	False	32	d4d5	['d4d5']
rnbqkb1r/pp1ppppp/5n2/2p5/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -	2	70	False	80	d4d5	['d4d5']
rnbqkb1r/pp1ppppp/5n2/2p5/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -	3	70	False	143	d4d5	['d4d5']
rnbqkb1r/pp1ppppp/5n2/2p5/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -	4	70	False	189	d4d5	['d4d5']
rnbqkb1r/pp1ppppp/5n2/2p5/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -	5	129	False	230	d4d5	['d4d5']
rnbqkb1r/pp1ppppp/5n2/2p5/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -	6	129	False	273	d4d5	['d4d5', 'd8a5', 'b1c3']
rnbqkb1r/pp1ppppp/5n2/2p5/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -	7	102	False	653	d4d5	['d4d5', 'd7d6', 'b1c3', 'd8a5']
rnbqkb1r/pp1ppppp/5n2/2p5/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -	8	111	False	1523	d4d5	['d4d5', 'd7d6', 'g1f3', 'a7a6']
rnbqkb1r/pp1ppppp/5n2/2p5/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -	9	100	False	7910	d4d5	['d4d5', 'd7d6', 'b1c3', 'g7g6', 'h2h3', 'f8g7', 'e2e4', 'e8g8', 'g1f3']
rnbqkb1r/pp1ppppp/5n2/2p5/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -	10	113	False	10324	d4d5	['d4d5', 'd7d6', 'b1c3', 'g7g6', 'g1f3', 'e7e6', 'e2e4', 'f8g7', 'h2h3']
r1b2rk1/1p1nbppp/p1pq1n2/3pp3/1PP5/P1N1PN2/1BQPBPPP/R3K2R w KQ -	1	65	False	60	d2d4	['d2d4']
r1b2rk1/1p1nbppp/p1pq1n2/3pp3/1PP5/P1N1PN2/1BQPBPPP/R3K2R w KQ -	2	96	False	135	d2d3	['d2d3']
r1b2rk1/1p1nbppp/p1pq1n2/3pp3/1PP5/P1N1PN2/1BQPBPPP/R3K2R w KQ -	3	96	False	223	d2d3	['d2d3']
r1b2rk1/1p1nbppp/p1pq1n2/3pp3/1PP5/P1N1PN2/1BQPBPPP/R3K2R w KQ -	4	96	False	274	d2d3	['d2d3']
r1b2rk1/1p1nbppp/p1pq1n2/3pp3/1PP5/P1N1PN2/1BQPBPPP/R3K2R w KQ -	5	114	False	326	d2d3	['d2d3']
r1b2rk1/1p1nbppp/p1pq1n2/3pp3/1PP5/P1N1PN2/1BQPBPPP/R3K2R w KQ -	6	114	False	431	d2d3	['d2d3', 'd5c4', 'd3c4']
r1b2rk1/1p1nbppp/p1pq1n2/3pp3/1PP5/P1N1PN2/1BQPBPPP/R3K2R w KQ -	7	70	False	1899	c4c5	['c4c5', 'd6b8', 'c3a4', 'a6a5']
