FN:  ../mega-clean.pgn
1945000 9219.5s
1950000 9244.5s
1955000 9269.5s
1960000 9294.1s
1965000 9318.6s
1970000 9343.0s
1975000 9367.5s
1980000 9392.1s
1985000 9416.3s
1990000 9440.7s
1995000 9464.6s
2000000 9489.1s
2005000 9513.4s
2010000 9537.1s
2015000 9561.3s
2020000 9585.4s
2025000 9609.5s
2030000 9634.0s
2035000 9659.9s
2040000 9685.7s
2045000 9711.4s
2050000 9737.1s
2055000 9762.5s
2060000 9788.2s
2065000 9813.5s
2070000 9839.1s
2075000 9864.0s
2080000 9889.0s
2085000 9914.2s
2090000 9939.5s
2095000 9964.6s
2100000 9989.2s
2105000 10013.8s
2110000 10038.1s
2115000 10063.1s
2120000 10087.1s
2125000 10111.5s
2130000 10135.6s
2135000 10160.1s
2140000 10184.5s
2145000 10210.0s
2150000 10235.5s
2155000 10261.4s
2160000 10286.6s
2165000 10311.9s
2170000 10336.6s
2175000 10361.6s
2180000 10386.6s
2185000 10411.3s
2190000 10435.2s
2195000 10458.9s
2200000 10482.6s
2205000 10506.2s
2210000 10529.8s
2215000 10552.9s
2220000 10577.0s
2225000 10602.1s
2230000 10626.9s
2235000 10651.7s
2240000 10676.5s
2245000 10700.8s
2250000 10724.8s
2255000 10748.4s
2260000 10772.1s
2265000 10795.7s
2270000 10819.2s
2275000 10842.2s
2280000 10865.4s
2285000 10888.8s
2290000 10912.8s
2295000 10938.9s
2300000 10965.4s
2305000 10991.6s
2310000 11017.8s
2315000 11043.7s
2320000 11069.3s
2325000 11095.1s
2330000 11120.9s
2335000 11147.2s
2340000 11172.3s
2345000 11197.6s
2350000 11224.0s
2355000 11249.3s
2360000 11274.7s
2365000 11299.9s
2370000 11325.3s
2375000 11350.4s
2380000 11375.5s
2385000 11400.2s
2390000 11424.6s
2395000 11449.4s
2400000 11473.7s
2405000 11498.1s
2410000 11522.4s
2415000 11545.9s
2420000 11569.0s
2425000 11592.1s
2430000 11615.3s
2435000 11638.8s
2440000 11662.9s
2445000 11688.3s
2450000 11714.1s
2455000 11739.7s
2460000 11765.1s
2465000 11790.1s
2470000 11815.5s
2475000 11840.6s
2480000 11865.5s
2485000 11890.6s
2490000 11915.1s
2495000 11939.9s
2500000 11964.6s
2505000 11988.8s
2510000 12013.0s
2515000 12036.9s
2520000 12061.4s
2525000 12087.6s
2530000 12113.3s
2535000 12138.6s
2540000 12164.1s
2545000 12189.2s
2550000 12214.1s
2555000 12237.7s
2560000 12262.1s
