../ChessOk.com/mega-clean.pgn
0 0 0.0% 0.0s
10000 10000 2.1% 20.7s
20000 20000 4.2% 41.0s
30000 30000 6.4% 62.1s
30000 62.1s
         175767872 function calls (175766556 primitive calls) in 62.177 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    90003    0.010    0.000    0.010    0.000 codecs.py:331(getstate)
    66286    0.010    0.000    0.020    0.000 {built-in method builtins.isinstance}
    53331    0.007    0.000    0.787    0.000 {built-in method builtins.next}
    30001    0.007    0.000    0.042    0.000 __init__.py:625(reset_board)
    30001    0.005    0.000    0.011    0.000 abc.py:117(__instancecheck__)
    30001    0.005    0.000    0.005    0.000 {built-in method _abc._abc_instancecheck}
    30001    0.004    0.000    0.004    0.000 pgn.py:1125(__init__)
    53973    0.004    0.000    0.004    0.000 {built-in method builtins.max}
    13/12    0.004    0.000    0.004    0.000 {built-in method _imp.create_dynamic}
     7749    0.004    0.000    0.011    0.000 __init__.py:3173(is_queenside_castling)
    10702    0.003    0.000    0.110    0.000 __init__.py:2976(<genexpr>)
    30001    0.003    0.000    0.003    0.000 pgn.py:1135(begin_headers)
       52    0.003    0.000    0.003    0.000 {built-in method marshal.loads}
    60002    0.003    0.000    0.003    0.000 {method 'clear' of 'list' objects}
    30001    0.003    0.000    0.003    0.000 pgn.py:1208(result)
     1781    0.003    0.000    0.003    0.000 __init__.py:3437(_ep_skewered)
        3    0.002    0.001    0.061    0.020 __init__.py:398(_attack_table)
     1781    0.002    0.000    0.004    0.000 __init__.py:803(pin_mask)
    30292    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
    30001    0.002    0.000    0.002    0.000 {method 'lstrip' of 'str' objects}
33763/33511    0.002    0.000    0.002    0.000 {built-in method builtins.len}
    30001    0.002    0.000    0.002    0.000 pgn.py:1103(end_game)
    30001    0.002    0.000    0.002    0.000 pgn.py:1041(end_headers)
  212/210    0.001    0.000    0.005    0.000 {built-in method builtins.__build_class__}
