Game: Niemann,Hans Moke (2637) vs Johansson,CF (2221)
55, e7e8, h7h5 : False
56, b3c4, f1e1 : False
57, e6e5, e6e5 : False
58, f3f6, f3c3 : False
59, e5e6, e8e6 : False
60, f6c3, f6c3 : False
61, e8d8, e8d8 : False
62, g1h1, f1e1 : False
63, h7h5, e6e4 : False
64, c3f3, f1e1 : False
65, d8e7, d8e7 : False
66, f3c3, f3c3 : True
67, e6e5, e6e5 : False
68, f1b1, f1d1 : False
69, g8h7, g8h7 : False
70, b1f1, b1f1 : False
71, h7g8, h7g8 : False
72, f1d1, f1d1 : False
73, e7g5, e5c5 : False
74, c3f3, d1e1 : False
75, e5c5, e5c5 : False
76, f3d3, f3c3 : False
77, c5f5, c5f5 : False
78, d3e4, d3d6 : False
79, g5f6, g5f6 : False
80, e4d3, e4d3 : False
81, h5h4, g8h7 : False
82, d3d8, d3d2 : False
83, f6d8, f6d8 : False
84, d1d8, d1d8 : True
85, g8g7, g8g7 : False
86, d8d6, h1g1 : False
87, f5f6, f5c5 : False
88, d6d4, d6d8 : False
89, g6g5, g6g5 : False
90, h1g1, d4d8 : False
91, f6f4, f6f5 : False
92, d4f4, d4f4 : False
93, g5f4, g5f4 : True
94, g1f2, g1f2 : False
95, g7f6, g7g6 : False
96, f2f3, f2f3 : False
97, f6f5, f6f5 : True
98, c4c5, c4c5 : True
99, f7f6, f7f6 : True
100, c2c3, c2c3 : False
101, f5e5, f5e5 : True
102, f3g4, f3g4 : True
103, e5e4, e5e4 : True
104, g4h4, g4h4 : True
105, f4f3, f4f3 : True
106, h4g3, h4g3 : False
107, f3g2, f3g2 : True
108, g3g2, g3g2 : True
109, e4e3, e4e3 : False
110, h3h4, h3h4 : False
111, e3f4, e3f4 : True
112, g2h3, g2h3 : False
113, f6f5, f6f5 : True
114, c3c4, c3c4 : False
115, f4e3, f4e3 : True
116, h3g2, h3g2 : False
117, e3f4, e3f4 : False
118, g2h3, g2h3 : False
Game: Niemann,Hans Moke (2637) vs Thorhallsson,T (2422)
20, e1g1, e1g1 : False
21, c4d6, c4a3 : False
22, c3d5, c3d5 : False
23, e6d5, b5b4 : False
24, d4c5, d4c5 : True
25, d6b7, d6b7 : True
26, f3e5, d1d5 : False
27, a8a7, b7d8 : False
28, e5f7, e5f7 : True
29, e8f7, e8f7 : False
30, f4b8, d1d5 : False
31, f8c5, f8c5 : False
32, d1d5, d1d5 : False
33, f7e7, f7f8 : False
34, d5e5, d5e4 : False
35, e7f8, e7f8 : False
36, a1d1, e5f4 : False
37, a5b6, a5b4 : False
38, b8a7, e5f4 : False
39, b6a7, c5d6 : False
40, g2b7, e5f4 : False
